Rk,Player,Age,Tm,Pos,GP,CF,CA,CF%,CF% rel,FF,FA,FF%,FF% rel,oiSH%,oiSV%,PDO,oZS%,dZS%,TOI/60,TOI(EV),TK,GV,E+/-,SAtt.,Thru%
587,Logan O'Connor\oconnlo01,23,COL,RW,7,45,47,48.9,-1.1,31,27,53.4,3.8,13,100,113,38.5,61.5,09:59,09:11,3,0,0.4,14,57.1
588,Ryan O'Reilly\oreilry01,28,STL,C,59,664,617,51.8,2.6,512,481,51.6,2.3,13.7,87.3,101.1,49.1,50.9,20:46,15:07,60,20,-4.1,157,65
589,Jordan Oesterle\oestejo01,27,ARI,D,50,569,653,46.6,-1.4,425,468,47.6,-0.4,6.5,92,98.5,49.5,50.5,16:39,14:42,10,29,0,135,42.2
590,Kyle Okposo\okposky01,31,BUF,RW,42,301,305,49.7,1.2,227,233,49.3,1.4,9.1,90.2,99.3,38,62,12:23,11:44,12,11,0,94,61.7
591,Jamie Oleksiak\oleksja01,27,DAL,D,59,739,653,53.1,5.5,510,456,52.8,5,6.5,91.2,97.8,49.7,50.3,15:49,15:06,21,43,5,136,50.7
592,Mathieu Olivier\olivima01,22,NSH,F,8,33,40,45.2,-9.3,27,28,49.1,-6.8,8.7,95,103.7,25,75,07:33,07:33,0,3,0,9,66.7
593,Gustav Olofsson\olofsgu01,25,MTL,D,3,14,34,29.2,-28.3,10,23,30.3,-29.9,0,75,75,50,50,08:06,08:06,0,1,-1.1,6,33.3
594,Victor Olofsson\olofsvi01,24,BUF,RW,44,530,524,50.3,-0.2,404,407,49.8,-0.3,13.9,87.4,101.3,56.8,43.2,18:46,15:09,11,24,-2,189,55.6
595,Dmitry Orlov\orlovdm01,28,WSH,D,59,993,846,54,2.2,726,634,53.4,1.6,11.8,87.8,99.6,49.2,50.8,22:08,19:34,44,52,3.5,199,47.2
596,T.J. Oshie\oshietj01,33,WSH,C/RW,59,709,680,51,-2,537,502,51.7,-0.9,15,86.6,101.6,52.3,47.7,18:26,14:24,34,38,0.2,210,52.4
597,Xavier Ouellet\ouellxa01,26,MTL,D,5,56,47,54.4,1.5,45,34,57,4.8,12.5,96.2,108.7,60.6,39.4,14:05,13:47,0,1,0.4,9,44.4
598,Alex Ovechkin\ovechal01,34,WSH,LW,58,864,743,53.8,1.7,611,556,52.4,-0.1,12.8,85.1,97.9,53.7,46.3,20:53,15:41,27,41,3.6,507,54.4
599,Max Pacioretty\pacioma01,31,VEG,LW,61,899,616,59.3,6.8,687,449,60.5,8.1,12.4,86.4,98.8,57.3,42.7,17:52,15:03,23,46,19.6,469,57.6
600,Jean-Gabriel Pageau\pageaje01,27,OTT,C,57,692,759,47.7,-0.4,521,528,49.7,1.6,10.2,89.3,99.5,39.4,60.6,19:19,15:11,26,24,2.5,206,60.7
601,Ondrej Palat\palaton01,28,TBL,LW,59,703,603,53.8,2.3,509,432,54.1,3.4,13.7,92.6,106.4,50.5,49.5,16:27,14:04,35,32,7.4,191,58.1
602,Kyle Palmieri\palmiky01,28,NJD,RW,54,543,586,48.1,2.4,430,430,50,3.4,12.1,91.3,103.4,54.4,45.6,17:06,13:19,25,21,-2.4,242,54.5
603,Artemi Panarin\panarar01,28,NYR,LW,57,836,803,51,6.8,649,602,51.9,7.4,14.9,90.3,105.2,54.8,45.2,20:22,16:44,42,65,10.1,341,52.8
604,Richard Panik\panikri01,28,WSH,RW,49,430,370,53.8,0.4,309,282,52.3,-0.8,11.7,93.3,105,48.5,51.5,11:32,10:31,17,23,-1.7,102,55.9
605,Cedric Paquette\paquece01,26,TBL,C,52,407,437,48.2,-5.7,296,331,47.2,-6.3,9.6,89.5,99.1,45.3,54.7,13:20,11:17,14,9,-6,117,58.1
606,Colton Parayko\parayco01,26,STL,D,52,678,757,47.2,-3.1,514,577,47.1,-3.2,12.1,89.9,101.9,46.2,53.8,22:58,19:37,29,36,-7.1,220,54.5
607,Zach Parise\parisza01,35,MIN,LW,58,627,697,47.4,-3,454,512,47,-3.8,9.9,88.4,98.3,50.5,49.5,17:12,13:18,16,17,-0.6,199,64.3
608,David Pastrnak\pastrda01,23,BOS,RW,60,798,642,55.4,6.4,588,483,54.9,5.7,13.5,89.5,103.1,63.7,36.3,19:15,15:23,45,84,6.2,432,54.6
609,Greg Pateryn\patergr01,29,MIN,D,10,99,131,43,-10.4,71,82,46.4,-7.2,10.2,94.5,104.7,44.4,55.6,15:39,13:48,2,3,0,29,41.4
610,Nick Paul\paulni01,24,OTT,LW,44,402,494,44.9,-4,285,347,45.1,-4.4,10.5,91.4,101.9,40.6,59.4,14:01,13:08,20,16,-5.4,139,55.4
611,Joe Pavelski\paveljo01,35,DAL,C,57,646,597,52,3.6,461,438,51.3,2.8,10.6,92.6,103.2,52.9,47.1,17:14,13:37,34,25,5.4,203,54.2
612,Tanner Pearson\pearsta01,27,VAN,LW,59,597,667,47.2,-1.3,437,502,46.5,-2.9,11.5,90,101.5,45.1,54.9,16:34,13:29,31,29,-6.6,212,66.5
613,Matthew Peca\pecama01,26,MTL,C,5,29,40,42,-11.8,22,31,41.5,-14.2,5.3,88.5,93.7,45.5,54.5,09:06,08:56,0,1,-1.1,7,57.1
614,Andrew Peeke\peekean01,21,CBJ,D,12,124,110,53,-0.8,97,74,56.7,1.8,11.6,92.7,104.3,54.7,45.3,13:12,12:27,0,4,2.3,24,33.3
615,Adam Pelech\pelecad01,25,NYI,D,38,489,602,44.8,-1.9,344,414,45.4,-1.7,11.2,89.7,101,37.2,62.8,21:08,18:09,32,48,-3.9,115,42.6
616,Brendan Perlini\perlibr01,23,TOT,LW,34,191,270,41.4,-3.7,141,209,40.3,-5,3.8,88.5,92.4,45.9,54.1,10:57,09:39,6,8,-5.1,92,46.7
617,Mathieu Perreault\perrema01,32,WPG,C,46,442,418,51.4,2.8,316,322,49.5,1.9,7.7,89,96.7,45.9,54.1,13:23,11:49,17,11,-0.7,113,60.2
618,David Perron\perroda01,31,STL,LW,59,668,615,52.1,2.9,516,482,51.7,2.5,13.3,87.4,100.6,51.9,48.1,18:40,15:03,30,31,-3.9,282,51.4
619,Corey Perry\perryco01,34,DAL,RW,47,376,433,46.5,-3.5,277,311,47.1,-3,9.6,91.4,101,51.9,48.1,13:27,11:17,9,20,1.5,129,46.5
620,Joel Persson\perssjo02,25,EDM,D,13,143,160,47.2,0.3,106,120,46.9,0,11.1,90.6,101.7,55.3,44.7,15:19,14:58,2,8,-0.2,33,51.5
621,Brett Pesce\pescebr01,25,CAR,D,58,894,797,52.9,-1.7,638,611,51.1,-3.3,11.3,90,101.3,49.4,50.6,22:01,18:26,42,37,1.3,211,47.4
622,Nic Petan\petanni01,24,TOR,C,16,153,119,56.3,2.7,111,90,55.2,4.4,6.9,88.1,95,39.7,60.3,11:07,10:18,4,2,0.4,41,46.3
623,Jeff Petry\petryje01,32,MTL,D,61,1070,824,56.5,3,785,615,56.1,2.8,8.5,86.7,95.2,53.3,46.7,23:36,18:52,25,76,7.8,321,44.2
624,Elias Pettersson\petteel01,21,VAN,C,58,714,578,55.3,9.2,537,413,56.5,10,14.7,87.4,102.1,60.7,39.3,18:28,14:06,32,25,5.7,279,50.9
625,Marcus Pettersson\pettema01,23,PIT,D,57,748,701,51.6,1.3,575,514,52.8,2.1,11.6,89.6,101.2,51.2,48.8,19:36,17:18,12,33,5.9,162,38.3
626,Alex Pietrangelo\pietral01,30,STL,D,59,865,779,52.6,4,659,589,52.8,4.4,13.8,86,99.9,50.8,49.2,00:10,18:31,38,40,3.4,341,55.7
627,Lawrence Pilut\pilutla01,24,BUF,D,11,71,101,41.3,-8.4,55,79,41,-8.4,5.1,88.7,93.8,48.1,51.9,16:08,14:41,2,4,-1.9,13,38.5
